cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_slope_q1_F,le_raceadj_slope_q1_M,count_q1_F,count_q1_M
302,Knoxville,727600.0,47,Tennessee,TN,-0.10912000000000001,-0.1334046,429563,401696
500,Greensboro,1055133.0,37,North Carolina,NC,0.09500589999999999,0.1139877,668573,604882
900,Charlotte,1423942.0,37,North Carolina,NC,0.131414,0.13231099999999998,875481,783282
1400,Fayetteville,644101.0,37,North Carolina,NC,0.3880125,0.0929968,455646,365008
1701,Raleigh,1412127.0,37,North Carolina,NC,0.0843597,0.21104720000000002,717112,657336
2000,Virginia Beach,1119468.0,51,Virginia,VA,0.09551339999999998,0.076071,609407,476072
2400,Richmond,1040192.0,51,Virginia,VA,0.255248,0.2559097,531211,464417
3300,New Orleans,1381652.0,22,Louisiana,LA,0.1481222,0.16790460000000001,843695,707386
3500,Baton Rouge,806561.0,22,Louisiana,LA,0.0064399,-0.0818424,525346,397188
4200,Little Rock,630854.0,5,Arkansas,AR,-0.15413949999999998,0.0380214,361087,328341
5202,Memphis,1154338.0,47,Tennessee,TN,0.026206,-0.0069663,752945,634590
5600,Nashville,1246338.0,47,Tennessee,TN,0.042286699999999997,0.10324030000000001,671004,663426
6700,Tampa,2395997.0,12,Florida,FL,-0.17596710000000002,-0.1586721,1602561,1589860
6800,Lakeland,598228.0,12,Florida,FL,-0.018679499999999998,0.045672500000000005,429875,405632
6900,Sarasota,763795.0,12,Florida,FL,-0.07613510000000001,-0.0890002,492471,478697
7000,Miami,3955969.0,12,Florida,FL,-0.057775400000000005,-0.0838572,3358466,3239108
7100,Port St. Lucie,1533306.0,12,Florida,FL,-0.0114489,-0.0029497,998275,989376
7200,Cape Coral,692265.0,12,Florida,FL,-0.190228,0.053470699999999996,485337,494722
7400,Orlando,1697906.0,12,Florida,FL,-0.07333839999999998,0.1757944,1280773,1203980
7600,Jacksonville,1176696.0,12,Florida,FL,0.06702539999999998,-0.0767056,742738,690459
8100,Columbia,722201.0,45,South Carolina,SC,0.0660188,0.21399339999999997,494637,406845
8300,Greenville,894291.0,45,South Carolina,SC,0.0126531,0.17143250000000002,573746,514863
9100,Atlanta,3798017.0,13,Georgia,GA,0.1372519,0.13962020000000003,2216191,2004180
10700,Birmingham,1038182.0,1,Alabama,AL,0.3726638,0.201794,608027,507562
10900,Pensacola,623252.0,12,Florida,FL,-0.1462523,-0.16030020000000003,399595,359206
11001,Mobile,599405.0,1,Alabama,AL,0.3072448,0.009301100000000001,444309,349004
